tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;direccion_via_codigo;direccion_via_nombre;direccion_portal_numero;direccion_piso;direccion_puerta;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;horario_acceso;codigo_dea
Centro educativo;Pública;022;Boadilla del Monte;CALLE;de Federico García Lorca;4;;;28660;COLEGIO FEDERICO GARCÍA LORCA EN EL HALL DE ENTRADA DEL EDIFICIO DE SECRETARIA;423876;4473337;DE 8:00 A 18:00 DE LUNES A VIERNES;2017-75
Centro educativo;Pública;022;Boadilla del Monte;CALLE;de Gutiérrez Soto;12;;;28660;COLEGIO ÁGORA EN EL HALL DE ENTRADA;424084;4472645;DE 8:00 A 18:00 DE LUNES A VIERNES;2017-76
Centro educativo;Pública;022;Boadilla del Monte;CALLE;de Tomás Bretón;4;;;28660;COLEGIO TERESA DE BERGANZA HALL DE ENTRADA DEL EDIFICIO PRINCIPAL;424795;4472847;DE 8:00 A 18:00 DE LUNES A VIERNES;2017-77
Centro educativo;Pública;022;Boadilla del Monte;CALLE;Islas Cíes;S/N;;;28660;COLEGIO JOSÉ BERGAMÍN EN EL HALL DE ENTRADA;424927;4476183;;2017-78
Centro educativo;Pública;022;Boadilla del Monte;CALLE;de Juan Carlos I;40;;;28660;COLEGIO PRÍNCIPE DON FELIPE EN EL HALL DE ENTRADA DEL EDIFICIO PRINCIPAL;425466;4473322;DE 8:00 A 18:00 DE LUNES A VIERNES;2017-79
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Serrano Galvache;56;3;N;28033;SERVICIO MEDICO DE EMPRESA THALES ESPAÑA GRP SAU;442952;4480807;HORARIO LABORAL DE LA EMPRESA;2017-80
Otros;Privada;005;Alcalá de Henares;CMNO;el Olivar;2;;;28806;CEMIDE SL PLANTA PRIMERA JUNTO A RECEPCIÓN;467135;4483391;;2017-84
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Velázquez;132;2;;28006;NAVANTIA HALL SEGUNDA PLANTA;442129;4476651;24 horas;2017-88
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;079;Madrid;CALLE;de San Enrique;16;baja;;28020;FERBOCAR CONSTGRUCCIONES SA GLOBAL ARRAKIS SLU ;440607;4478609;;2017-118
Otros;Pública;096;Navalcarnero;CALLE;del Cuartel;9;;;28600;PUESTO DE LA GUARDIA CIVIL DE NAVALCARNERO ;414073;4460318;;2017-122
