FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5db4,3917694,POINT (371690.9099892437 4066065.4250147087),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Arroyo de los Ángeles,93<br /> <b>N° Plazas: </b> 6<br/> <b>Descripción:</b> Esquina con c/ Nuestra Señora de los Clarines ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5db3,3917695,POINT (371421.87160202983 4065016.8496347065),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Doctor Escassi,4<br /> <b>N° Plazas: </b> 6<br/> <b>Descripción:</b> Frente al Colegio de Gamarra ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5db2,3917696,POINT (371487.91598084173 4065342.3518677996),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Cl. Morales Villarrubia,7<br /> <b>N° Plazas: </b> 6<br/> <b>Descripción:</b> A la altura del Colegio de Gamarra ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5db1,3917697,POINT (371988.7870599657 4065831.9683083026),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Arroyo de los Ángeles,60<br /> <b>N° Plazas: </b> 6<br/> <b>Descripción:</b> Junto a Hospital Materno Infantil. ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5db0,3917698,POINT (372175.0978337226 4063902.540413631),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Cl. Explanada de la Estación,3<br /> <b>N° Plazas: </b> 12<br/> <b>Descripción:</b> Frente salida estación. ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5daf,3917699,POINT (371859.11168423144 4064115.7915265546),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Mauricio Moro Pareto,4<br /> <b>N° Plazas: </b> 6<br/> <b>Descripción:</b> A la altura de la Delegación de Medio Ambiente de la J.A. ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dae,3917700,POINT (371895.68000724557 4064253.622234431),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Voluntariado Malagueño,5<br /> <b>N° Plazas: </b> 10<br/> <b>Descripción:</b> Esquina con Walt Whitman junto Edificio negro. ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dad,3917701,POINT (371442.2523551212 4064886.4377585505),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Ingeniero de la Torra Acosta,9<br /> <b>N° Plazas: </b> 4<br/> <b>Descripción:</b> A la altura de la Plaza Aparejador Federico Bermudez ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dac,3917702,POINT (371607.4591391868 4064463.596558479),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Av. Andalucía,32<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> Esquina con Cl. Manuel España Lobo ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dab,3917703,POINT (370615.0537752843 4064942.8032075567),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Av. Santa Rosa de Lima,12<br /> <b>N° Plazas: </b> 4<br/> <b>Descripción:</b> A la altura del Complejo Deportivo de Carranque ",,,,,-1,0,-1,0,
