idPerson,dateTime,idDateTime,idAccident,street,streetID,district,idDistrict,wikidata_URI,accident_type,weather_status,bicycle_is_electronic,person_type,age_range,sex,hospitalized,coordinate_x_utm,coordinate_y_utm,positive_alcohol
2019S010276,2019-02-02T11:30:00+02:00,201902021130000200,2019020211300002002019S010276,MARTINEZ DE LA RIVA,MARTINEZDELARIVA,Puente de Vallecas,PUENTEDEVALLECAS,https://www.wikidata.org/wiki/Q2003054,Lateral collision,Clear,0,Driver,40 - 44,Man,NULL,443.347.135,4.471.841.353,0
2019S010289,2019-02-11T09:15:00+02:00,20190211915000200,201902119150002002019S010289,MIGUEL ANGEL,MIGUELANGEL,Chamberí,CHAMBERI,https://www.wikidata.org/wiki/Q1763370,Frontal-lateral collision,Clear,0,Driver,25 - 29,Man,1,441.421.050,4.476.531.115,0
2019S010293,2019-02-12T22:00:00+02:00,201902122200000200,2019021222000002002019S010293,PASEO. PRADO,PASEOPRADO,Centro,CENTRO,https://www.wikidata.org/wiki/Q1763376,Scope,Clear,0,Driver,25 - 29,Man,1,441.118.925,4.474.411.318,0
2019S010360,2019-02-13T14:25:00+02:00,201902131425000200,2019021314250002002019S010360,CONDE DE PENALVER,CONDEDEPENALVER,Salamanca,SALAMANCA,https://www.wikidata.org/wiki/Q1773521,Scope,Clear,0,Driver,55 - 59,Woman,1,442.717.608,4.475.606.378,0
2019S010365,2019-02-12T19:05:00+02:00,201902121905000200,2019021219050002002019S010365,GTA. QUEVEDO,GTAQUEVEDO,Chamberí,CHAMBERI,https://www.wikidata.org/wiki/Q1763370,Lateral collision,Clear,0,Driver,30 - 34,Man,0,440.249.383,4.476.111.443,0
2019S010653,2019-02-14T14:20:00+02:00,201902141420000200,2019021414200002002019S010653,PASEO. INFANTA ISABEL,PASEOINFANTAISABEL,Retiro,RETIRO,https://www.wikidata.org/wiki/Q2002296,Lateral collision,Clear,0,Driver,21 - 24,Man,0,441.641.903,4.473.131.909,0
2019S010716,2019-02-14T18:00:00+02:00,201902141800000200,2019021418000002002019S010716,AVDA. MENENDEZ PELAYO,AVDAMENENDEZPELAYO,Retiro,RETIRO,https://www.wikidata.org/wiki/Q2002296,Fall,Clear,0,Driver,35 - 39,Woman,NULL,442.250.850,4.472.927.385,0
2019S010849,2019-02-14T20:00:00+02:00,201902142000000200,2019021420000002002019S010849,SANTA ENGRACIA,SANTAENGRACIA,Chamberí,CHAMBERI,https://www.wikidata.org/wiki/Q1763370,Hitting a person,Clear,0,Driver,25 - 29,Man,1,440.962.718,4.475.537.912,0
2019S010849,2019-02-14T20:00:00+02:00,201902142000000200,2019021420000002002019S010849,SANTA ENGRACIA,SANTAENGRACIA,Chamberí,CHAMBERI,https://www.wikidata.org/wiki/Q1763370,Hitting a person,Clear,0,Pedestrian,25 - 29,Man,0,440.962.718,4.475.537.912,0
2019S010852,2019-02-13T17:30:00+02:00,201902131730000200,2019021317300002002019S010852,SILVANO,SILVANO,Hortaleza,HORTALEZA,https://www.wikidata.org/wiki/Q1928529,Hitting a person,Clear,0,Driver,45 - 49,Man,1,446.769.157,4.479.288.081,0
2019S010852,2019-02-13T17:30:00+02:00,201902131730000200,2019021317300002002019S010852,SILVANO,SILVANO,Hortaleza,HORTALEZA,https://www.wikidata.org/wiki/Q1928529,Hitting a person,Clear,0,Pedestrian,21 - 24,Woman,0,446.769.157,4.479.288.081,0
2019S010855,2019-02-14T18:00:00+02:00,201902141800000200,2019021418000002002019S010855,AUTOV. M-40,AUTOVM40,Moratalaz,MORATALAZ,https://www.wikidata.org/wiki/Q2076109,Scope,Clear,0,Driver,50 - 54,Man,0,447.036.201,4.473.090.434,0
2019S010907,2019-01-25T04:00:00+02:00,20190125400000200,201901254000002002019S010907,GRAN VIA,GRANVIA,Centro,CENTRO,https://www.wikidata.org/wiki/Q1763376,Frontal-lateral collision,NULL,0,Driver,21 - 24,Man,1,439.723.297,4.474.977.990,0
2019S010951,2019-02-15T14:10:00+02:00,201902151410000200,2019021514100002002019S010951,GTA. ANGEL CAIDO,GTAANGELCAIDO,Retiro,RETIRO,https://www.wikidata.org/wiki/Q2002296,Fall,Clear,0,Driver,45 - 49,Woman,1,442.044.127,4.473.590.577,0
2019S011089,2019-02-16T14:05:00+02:00,201902161405000200,2019021614050002002019S011089,RONDA DE VALENCIA,RONDADEVALENCIA,Centro,CENTRO,https://www.wikidata.org/wiki/Q1763376,Lateral collision,Clear,0,Driver,35 - 39,Man,NULL,440.448.384,4.472.982.627,0
2019S011128,2019-02-17T09:00:00+02:00,20190217900000200,201902179000002002019S011128,AVDA. POBLADOS,AVDAPOBLADOS,Carabanchel,CARABANCHEL,https://www.wikidata.org/wiki/Q1001991,Scope,Clear,0,Driver,35 - 39,Man,1,438.819.807,4.468.985.406,0
2019S011335,2019-02-16T17:10:00+02:00,201902161710000200,2019021617100002002019S011335,PASEO. CHOPERA,PASEOCHOPERA,Arganzuela,ARGANZUELA,https://www.wikidata.org/wiki/Q2000929,Fall,Clear,0,Driver,35 - 39,Woman,1,440.402.235,4.471.979.964,0
2019S011338,2019-02-16T19:55:00+02:00,201902161955000200,2019021619550002002019S011338,JOAQUIN TURINA,JOAQUINTURINA,Carabanchel,CARABANCHEL,https://www.wikidata.org/wiki/Q1001991,Fall,Clear,0,Driver,45 - 49,Woman,1,436.049.152,4.469.354.022,0
2019S012142,2019-02-20T07:45:00+02:00,20190220745000200,201902207450002002019S012142,ATOCHA,ATOCHA,Centro,CENTRO,https://www.wikidata.org/wiki/Q1763376,Fall,Clear,0,Driver,15 - 17,Woman,0,440.998.615,4.473.545.957,0
2019S012186,2019-02-19T11:57:00+02:00,201902191157000200,2019021911570002002019S012186,IGLESIAS EXTRAMUROS,IGLESIASEXTRAMUROS,Latina,LATINA,https://www.wikidata.org/wiki/Q794954,Frontal-lateral collision,Clear,0,Driver,50 - 54,Man,0,435.087.085,4.468.859.526,0
2019S013090,2019-02-23T21:15:00+02:00,201902232115000200,2019022321150002002019S013090,PLAZA. ESPANA,PLAZAESPANA,Moncloa-Aravaca,MONCLOAARAVACA,https://www.wikidata.org/wiki/Q2017682,Scope,Clear,0,Driver,21 - 24,Man,1,439.497.277,4.475.020.228,0
2019S013198,2019-02-23T10:35:00+02:00,201902231035000200,2019022310350002002019S013198,PARROCO EUSEBIO CUENCA,PARROCOEUSEBIOCUENCA,Arganzuela,ARGANZUELA,https://www.wikidata.org/wiki/Q2000929,Fall,Clear,0,Driver,40 - 44,Man,1,441.575.543,4.471.866.182,0
2019S013570,2019-02-25T16:50:00+02:00,201902251650000200,2019022516500002002019S013570,ESPARTEROS,ESPARTEROS,Centro,CENTRO,https://www.wikidata.org/wiki/Q1763376,Fall,Clear,0,Driver,30 - 34,Woman,0,440.166.601,4.474.137.004,0
