Gis_X,Gis_Y,Distrito,Barrio,Número de Plazas,Longitud,Latitud,Direccion
"442711,2","4476730,39",5  CHAMARTÍN,05-02 PROSPERIDAD,24,-3.6754913,40.4392483,"PADRE INDALECIO HERNANDEZ, CALLE, DEL, 1"
"442749,2","4477268,2",5  CHAMARTÍN,05-03 CIUDAD JARDÍN,24,-3.6750918,40.4440957,"SUERO DE QUIÑONES, CALLE, DE, 2"
"442506,78","4478097,54",5  CHAMARTÍN,05-01 EL VISO,24,-3.6780252,40.4515501,"CONCHA ESPINA, AVENIDA, DE, S/N"
"441342,11","4476060,39",7  CHAMBERÍ,07-04 ALMAGRO,24,-3.6915713,40.4331172,"RUBEN DARIO, GLORIETA, DE, 2"
"439369,52","4476210,1",7  CHAMBERÍ,07-01 GAZTAMBIDE,27,-3.7148406,40.4343244,"FERNANDO EL CATOLICO, CALLE, DE, 61"
"440231,49","4476129,61",7  CHAMBERÍ,07-02 ARAPILES,24,-3.704671,40.4336617,"QUEVEDO, GLORIETA, DE, frente 4"
"440308,49","4476691,87",7  CHAMBERÍ,07-05 RÍOS ROSAS,24,-3.7038161,40.4387323,"JOSE ABASCAL, CALLE, DE, frente al 2"
"439947,59","4476965,21",7  CHAMBERÍ,07-06 VALLEHERMOSO,24,-3.7080969,40.4411686,"SANTANDER, CALLE, DE, S/N"
"439411,53","4477034,58",7  CHAMBERÍ,07-06 VALLEHERMOSO,24,-3.7144239,40.4417547,"GENERAL AMPUDIA, CALLE, DEL, 2"
"440286,36","4477683,16",6  TETUÁN,06-01 BELLAS VISTAS,24,-3.7041702,40.4476606,"DOCTOR SANTERO, CALLE, DEL, 1"
"440361,85","4478331,04",6  TETUÁN,06-01 BELLAS VISTAS,24,-3.7033408,40.4535024,"NAVARRA, CALLE, DE, 1"
"440732,11","4479138,12",6  TETUÁN,06-06 BERRUGUETE,24,-3.6990499,40.4607994,"MARQUES DE VIANA, CALLE, DEL, 5"
