identificador,matricula,distrito,barrio,calle,num_finca,location
http://www.group10.org/pl/resource/ParkingMeter/PM301210047,301210047,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S97,5,http://www.group10.org/pl/resource/Location/L28861
http://www.group10.org/pl/resource/ParkingMeter/PM301210037,301210037,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S98,17,http://www.group10.org/pl/resource/Location/L28862
http://www.group10.org/pl/resource/ParkingMeter/PM301210013,301210013,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S99,1,http://www.group10.org/pl/resource/Location/L28863
http://www.group10.org/pl/resource/ParkingMeter/PM301210022,301210022,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S99,12,http://www.group10.org/pl/resource/Location/L28864
http://www.group10.org/pl/resource/ParkingMeter/PM301210067,301210067,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S100,7,http://www.group10.org/pl/resource/Location/L28865
http://www.group10.org/pl/resource/ParkingMeter/PM301210056,301210056,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S100,12,http://www.group10.org/pl/resource/Location/L28866
http://www.group10.org/pl/resource/ParkingMeter/PM301210003,301210003,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S101,6,http://www.group10.org/pl/resource/Location/L28867
http://www.group10.org/pl/resource/ParkingMeter/PM301210002,301210002,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S101,10,http://www.group10.org/pl/resource/Location/L28868
http://www.group10.org/pl/resource/ParkingMeter/PM301210001,301210001,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S102,4,http://www.group10.org/pl/resource/Location/L28869
http://www.group10.org/pl/resource/ParkingMeter/PM301210004,301210004,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S103,7,http://www.group10.org/pl/resource/Location/L28870
http://www.group10.org/pl/resource/ParkingMeter/PM301210005,301210005,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S104,7,http://www.group10.org/pl/resource/Location/L28871
http://www.group10.org/pl/resource/ParkingMeter/PM301210041,301210041,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S105,3,http://www.group10.org/pl/resource/Location/L28872
http://www.group10.org/pl/resource/ParkingMeter/PM301210059,301210059,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S105,20,http://www.group10.org/pl/resource/Location/L28873
http://www.group10.org/pl/resource/ParkingMeter/PM301210040,301210040,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S106,3,http://www.group10.org/pl/resource/Location/L28874
http://www.group10.org/pl/resource/ParkingMeter/PM301210012,301210012,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S107,10,http://www.group10.org/pl/resource/Location/L28875
http://www.group10.org/pl/resource/ParkingMeter/PM301210021,301210021,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S110,4,http://www.group10.org/pl/resource/Location/L28876
http://www.group10.org/pl/resource/ParkingMeter/PM301210038,301210038,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S110,48,http://www.group10.org/pl/resource/Location/L28877
http://www.group10.org/pl/resource/ParkingMeter/PM301210065,301210065,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S110,53,http://www.group10.org/pl/resource/Location/L28878
http://www.group10.org/pl/resource/ParkingMeter/PM301210011,301210011,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S114,10,http://www.group10.org/pl/resource/Location/L28880
