identificador,gis_x,gis_y
http://www.group10.org/pl/resource/Location/L318,439789.41,4474698.39
http://www.group10.org/pl/resource/Location/L319,439790.9,4474701.15
http://www.group10.org/pl/resource/Location/L320,439737.24,4474276.65
http://www.group10.org/pl/resource/Location/L321,439741.6,4474260.7
http://www.group10.org/pl/resource/Location/L322,439730.94,4474299.98
http://www.group10.org/pl/resource/Location/L323,439724.28,4474326.66
http://www.group10.org/pl/resource/Location/L324,439718.84,4474350.23
http://www.group10.org/pl/resource/Location/L325,439309.97,4473913.98
http://www.group10.org/pl/resource/Location/L326,439310.85,4474025.59
http://www.group10.org/pl/resource/Location/L327,439306.38,4474025.62
http://www.group10.org/pl/resource/Location/L328,439206.07,4474078.34
http://www.group10.org/pl/resource/Location/L329,439226.88,4474003.64
http://www.group10.org/pl/resource/Location/L330,439263.61,4474003.86
http://www.group10.org/pl/resource/Location/L331,439287.05,4474083.83
http://www.group10.org/pl/resource/Location/L332,439447.56,4473294.66
http://www.group10.org/pl/resource/Location/L333,439434.6,4473298.23
http://www.group10.org/pl/resource/Location/L334,439348.8,4473362.65
http://www.group10.org/pl/resource/Location/L335,439377.17,4473342.01
http://www.group10.org/pl/resource/Location/L336,439330.4,4473376.99
http://www.group10.org/pl/resource/Location/L337,439311.84,4473392.26
http://www.group10.org/pl/resource/Location/L338,439536.49,4473994.74
http://www.group10.org/pl/resource/Location/L339,439548.41,4473985.12
http://www.group10.org/pl/resource/Location/L340,439578.9,4473323.97
http://www.group10.org/pl/resource/Location/L341,439584.49,4473316.06
http://www.group10.org/pl/resource/Location/L342,439586.77,4473336.41
http://www.group10.org/pl/resource/Location/L343,439933.94,4473450.46
http://www.group10.org/pl/resource/Location/L344,439937.86,4473461.92
http://www.group10.org/pl/resource/Location/L345,439961.74,4473470.69
http://www.group10.org/pl/resource/Location/L346,439907.23,4473451.73
http://www.group10.org/pl/resource/Location/L347,439903.05,4473444.55
http://www.group10.org/pl/resource/Location/L348,439939.21,4473434.9
http://www.group10.org/pl/resource/Location/L349,439930.44,4473439.27
http://www.group10.org/pl/resource/Location/L350,440534.84,4473171.06
http://www.group10.org/pl/resource/Location/L351,440558.77,4473108.54
http://www.group10.org/pl/resource/Location/L352,440567.08,4473099.01
http://www.group10.org/pl/resource/Location/L353,440547.05,4473143.47
http://www.group10.org/pl/resource/Location/L354,440586.51,4473056.03
http://www.group10.org/pl/resource/Location/L355,439759,4473334.42
http://www.group10.org/pl/resource/Location/L356,439764.94,4473315.56
http://www.group10.org/pl/resource/Location/L357,439779.51,4473272.66
http://www.group10.org/pl/resource/Location/L358,439804.87,4473206.54
http://www.group10.org/pl/resource/Location/L359,439823.43,4473160.96
http://www.group10.org/pl/resource/Location/L360,440602.53,4473310.65
http://www.group10.org/pl/resource/Location/L361,440588.01,4473313.62
