,calle
437,"CARLOS ARNICHES, CALLE, DE"
438,"CARLOS ARNICHES, CALLE, DE"
439,"CARLOS ARNICHES, CALLE, DE"
440,"CARLOS ARNICHES, CALLE, DE"
441,"CARLOS ARNICHES, CALLE, DE"
442,"CARLOS ARNICHES, CALLE, DE"
443,"CARLOS ARNICHES, CALLE, DE"
444,"CASCORRO, PLAZA, DE"
445,"CASCORRO, PLAZA, DE"
446,"CASCORRO, PLAZA, DE"
447,"CASCORRO, PLAZA, DE"
448,"CASCORRO, PLAZA, DE"
449,"CASCORRO, PLAZA, DE"
450,"CASCORRO, PLAZA, DE"
451,"CASCORRO, PLAZA, DE"
452,"CASCORRO, PLAZA, DE"
453,"CASCORRO, PLAZA, DE"
454,"CASCORRO, PLAZA, DE"
455,"CASINO, CALLE, DEL"
456,"COLEGIATA, CALLE, DE LA"
457,"COLEGIATA, CALLE, DE LA"
458,"COLEGIATA, CALLE, DE LA"
459,"COLEGIATA, CALLE, DE LA"
460,"COLEGIATA, CALLE, DE LA"
461,"COLEGIATA, CALLE, DE LA"
462,"COLEGIATA, CALLE, DE LA"
463,"CONCEPCION JERONIMA, CALLE, DE LA"
464,"CONDE DE ROMANONES, CALLE, DEL"
465,"CONDE DE ROMANONES, CALLE, DEL"
466,"CONDE DE ROMANONES, CALLE, DEL"
467,"CONDE DE ROMANONES, CALLE, DEL"
468,"CONDE DE ROMANONES, CALLE, DEL"
469,"CONDE DE ROMANONES, CALLE, DEL"
470,"CONDE DE ROMANONES, CALLE, DEL"
471,"DOCTOR CORTEZO, CALLE, DEL"
472,"DOCTOR CORTEZO, CALLE, DEL"
473,"DOCTOR FOURQUET, CALLE, DEL"
474,"DOCTOR FOURQUET, CALLE, DEL"
475,"DOCTOR FOURQUET, CALLE, DEL"
476,"DOCTOR FOURQUET, CALLE, DEL"
477,"DOCTOR FOURQUET, CALLE, DEL"
478,"DOCTOR FOURQUET, CALLE, DEL"
479,"DOCTOR FOURQUET, CALLE, DEL"
480,"DOCTOR FOURQUET, CALLE, DEL"
481,"DOCTOR FOURQUET, CALLE, DEL"
482,"DOCTOR FOURQUET, CALLE, DEL"
483,"DOCTOR FOURQUET, CALLE, DEL"
484,"DOCTOR FOURQUET, CALLE, DEL"
485,"DOCTOR FOURQUET, CALLE, DEL"
486,"DOCTOR FOURQUET, CALLE, DEL"
487,"DOCTOR FOURQUET, CALLE, DEL"
488,"DOCTOR PIGA, CALLE, DEL"
489,"DOCTOR PIGA, CALLE, DEL"
490,"DOCTOR PIGA, CALLE, DEL"
491,"DOCTOR PIGA, CALLE, DEL"
492,"DUQUE DE ALBA, CALLE, DEL"
493,"DUQUE DE ALBA, CALLE, DEL"
494,"DUQUE DE ALBA, CALLE, DEL"
495,"DUQUE DE ALBA, CALLE, DEL"
496,"DUQUE DE FERNAN NUÑEZ, CALLE, DEL"
497,"DUQUE DE RIVAS, CALLE, DEL"
498,"DUQUE DE RIVAS, CALLE, DEL"
499,"DUQUE DE RIVAS, CALLE, DEL"
500,"DUQUE DE RIVAS, CALLE, DEL"
501,"EMBAJADORES, CALLE, DE"
502,"EMBAJADORES, CALLE, DE"
503,"EMBAJADORES, CALLE, DE"
504,"EMBAJADORES, CALLE, DE"
505,"EMBAJADORES, CALLE, DE"
506,"EMBAJADORES, CALLE, DE"
507,"EMBAJADORES, CALLE, DE"
508,"EMBAJADORES, CALLE, DE"
509,"EMBAJADORES, CALLE, DE"
510,"EMBAJADORES, CALLE, DE"
511,"EMBAJADORES, CALLE, DE"
512,"EMBAJADORES, CALLE, DE"
513,"EMBAJADORES, CALLE, DE"
514,"EMBAJADORES, CALLE, DE"
515,"EMBAJADORES, CALLE, DE"
516,"EMBAJADORES, CALLE, DE"
517,"EMBAJADORES, CALLE, DE"
518,"EMBAJADORES, CALLE, DE"
519,"EMBAJADORES, CALLE, DE"
520,"EMBAJADORES, CALLE, DE"
521,"EMBAJADORES, GLORIETA, DE"
522,"ESCUADRA, CALLE, DE LA"
523,"ESCUADRA, CALLE, DE LA"
524,"ESCUADRA, CALLE, DE LA"
525,"ESPERANZA, CALLE, DE"
526,"ESPERANZA, CALLE, DE"
527,"ESTUDIOS, CALLE, DE LOS"
528,"GENERAL VARA DE REY, PLAZA, DEL"
529,"GENERAL VARA DE REY, PLAZA, DEL"
530,"GENERAL VARA DE REY, PLAZA, DEL"
531,"GENERAL VARA DE REY, PLAZA, DEL"
532,"GENERAL VARA DE REY, PLAZA, DEL"
533,"GENERAL VARA DE REY, PLAZA, DEL"
534,"HOSPITAL, CALLE, DEL"
535,"HOSPITAL, CALLE, DEL"
536,"HUERTA DEL BAYO, CALLE, DE LA"
537,"HUERTA DEL BAYO, CALLE, DE LA"
538,"HUERTA DEL BAYO, CALLE, DE LA"
539,"HUERTA DEL BAYO, CALLE, DE LA"
540,"JESUS Y MARIA, CALLE, DE"
541,"JUANELO, CALLE, DE"
542,"LAVAPIES, CALLE, DE"
543,"LAVAPIES, CALLE, DE"
544,"LAVAPIES, CALLE, DE"
545,"LAVAPIES, CALLE, DE"
546,"LAVAPIES, CALLE, DE"
547,"LAVAPIES, CALLE, DE"
548,"LOPEZ SILVA, CALLE, DE"
549,"LOPEZ SILVA, CALLE, DE"
550,"LUIS VELEZ DE GUEVARA, CALLE, DE"
551,"LUIS VELEZ DE GUEVARA, CALLE, DE"
552,"LUIS VELEZ DE GUEVARA, CALLE, DE"
553,"LUIS VELEZ DE GUEVARA, CALLE, DE"
554,"LUIS VELEZ DE GUEVARA, CALLE, DE"
555,"MAGDALENA, CALLE, DE LA"
556,"MAGDALENA, CALLE, DE LA"
557,"MAGDALENA, CALLE, DE LA"
558,"MAGDALENA, CALLE, DE LA"
559,"MALLORCA, CALLE, DE"
560,"MALLORCA, CALLE, DE"
561,"MALLORCA, CALLE, DE"
562,"MARQUES DE TOCA, CALLE, DEL"
563,"MARQUES DE TOCA, CALLE, DEL"
564,"MELLIZO, CALLEJON, DEL"
565,"MESON DE PAREDES, CALLE, DEL"
566,"MESON DE PAREDES, CALLE, DEL"
567,"MESON DE PAREDES, CALLE, DEL"
568,"MESON DE PAREDES, CALLE, DEL"
569,"MESON DE PAREDES, CALLE, DEL"
570,"MIGUEL SERVET, CALLE, DE"
571,"MIGUEL SERVET, CALLE, DE"
572,"MIGUEL SERVET, CALLE, DE"
573,"MIGUEL SERVET, CALLE, DE"
574,"MIGUEL SERVET, CALLE, DE"
575,"MIGUEL SERVET, CALLE, DE"
576,"MIGUEL SERVET, CALLE, DE"
577,"MIGUEL SERVET, CALLE, DE"
578,"MIGUEL SERVET, CALLE, DE"
579,"MIGUEL SERVET, CALLE, DE"
580,"MIGUEL SERVET, CALLE, DE"
581,"MIGUEL SERVET, CALLE, DE"
582,"MIRA EL RIO BAJA, CALLE, DE"
583,"MIRA EL RIO BAJA, CALLE, DE"
584,"MIRA EL RIO BAJA, CALLE, DE"
585,"MIRA EL RIO BAJA, CALLE, DE"
586,"MIRA EL SOL, CALLE, DE"
587,"MIRA EL SOL, CALLE, DE"
588,"MIRA EL SOL, CALLE, DE"
589,"MIRA EL SOL, CALLE, DE"
590,"MIRA EL SOL, CALLE, DE"
591,"MIRA EL SOL, CALLE, DE"
592,"MIRA EL SOL, CALLE, DE"
593,"MIRA EL SOL, CALLE, DE"
594,"MIRA EL SOL, CALLE, DE"
595,"OLIVAR, CALLE, DEL"
596,"OLIVAR, CALLE, DEL"
597,"OLIVAR, CALLE, DEL"
598,"OLIVAR, CALLE, DEL"
599,"OLIVAR, CALLE, DEL"
600,"OLIVAR, CALLE, DEL"
601,"OLMO, CALLE, DEL"
602,"OLMO, CALLE, DEL"
603,"OLMO, CALLE, DEL"
604,"PEÑA DE FRANCIA, CALLE, DE LA"
605,"PEÑA DE FRANCIA, CALLE, DE LA"
606,"PROVISIONES, CALLE, DE LAS"
607,"PROVISIONES, CALLE, DE LAS"
608,"PROVISIONES, CALLE, DE LAS"
609,"PUERTA DE TOLEDO, GLORIETA, DE LA"
610,"RIBERA DE CURTIDORES, CALLE, DE LA"
611,"RIBERA DE CURTIDORES, CALLE, DE LA"
612,"RIBERA DE CURTIDORES, CALLE, DE LA"
613,"RIBERA DE CURTIDORES, CALLE, DE LA"
614,"RIBERA DE CURTIDORES, CALLE, DE LA"
615,"RIBERA DE CURTIDORES, CALLE, DE LA"
616,"RIBERA DE CURTIDORES, CALLE, DE LA"
617,"RIBERA DE CURTIDORES, CALLE, DE LA"
