Órg. Gest.,Órgano Gestor,Imp. Conce,Fec. Conc.,Finalidad2,Procedimiento Conce.,Nominativa
221,DISTRITO DE BARAJAS,900,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
221,DISTRITO DE BARAJAS,540,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
221,DISTRITO DE BARAJAS,300,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
221,DISTRITO DE BARAJAS,300,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
221,DISTRITO DE BARAJAS,300,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
221,DISTRITO DE BARAJAS,400,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
221,DISTRITO DE BARAJAS,1080,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
221,DISTRITO DE BARAJAS,400,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
221,DISTRITO DE BARAJAS,900,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
221,DISTRITO DE BARAJAS,540,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
221,DISTRITO DE BARAJAS,500,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
221,DISTRITO DE BARAJAS,600,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
221,DISTRITO DE BARAJAS,300,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
221,DISTRITO DE BARAJAS,720,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
221,DISTRITO DE BARAJAS,720,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,360,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,1620,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,3240,20210130,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,2160,20210130,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,1500,20210130,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,750,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,3150,20210130,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
218,DISTRITO DE VILLA DE VALLECAS,720,20210203,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
218,DISTRITO DE VILLA DE VALLECAS,720,20210203,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
218,DISTRITO DE VILLA DE VALLECAS,250,20210203,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
